Country,Region,Population,Area (sq. mi.),Literacy (%),Birthrate,Deathrate
Dominica ,LATIN AMER. & CARIB    ,68910,754,94,15.27,6.73
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,84.7,23.22,5.73
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,58.6,26.99,6.24
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,92.5,22.29,4.23
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,57.7,22.94,5.23
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,80.2,26.61,5.78
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,85.7,35.59,15.06
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,58.6,34.33,9.6
Estonia ,BALTICS                            ,1324333,45226,99.8,10.04,13.25
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,42.7,37.98,14.86
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,ND,14.05,8.7
Fiji ,OCEANIA                            ,905949,18270,93.7,22.55,5.65
Finland ,WESTERN EUROPE                     ,5231372,338145,100,10.45,9.86
France ,WESTERN EUROPE                     ,60876136,547030,99,11.99,9.14
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,83,20.46,4.88
French Polynesia ,OCEANIA                            ,274578,4167,98,16.68,4.69
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,63.2,36.16,12.25
Gambia. The ,SUB-SAHARAN AFRICA                 ,1641564,11300,40.1,39.37,12.25
Gaza Strip ,NEAR EAST                          ,1428757,360,ND,39.45,3.8
Georgia ,C.W. OF IND. STATES ,4661473,69700,99,10.41,9.23
Germany ,WESTERN EUROPE                     ,82422299,357021,99,8.25,10.62
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,74.8,30.52,9.72
Gibraltar ,WESTERN EUROPE                     ,27928,7,ND,10.74,9.31
Greece ,WESTERN EUROPE                     ,10688058,131940,97.5,9.68,10.24
Greenland ,NORTHERN AMERICA                   ,56361,2166086,ND,15.93,7.84
Grenada ,LATIN AMER. & CARIB    ,89703,344,98,22.08,6.88
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,90,15.05,6.09
Guam ,OCEANIA                            ,171019,541,99,18.79,4.48
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,70.6,29.88,5.2
Guernsey ,WESTERN EUROPE                     ,65409,78,ND,8.81,10.01
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,35.9,41.76,15.48
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,42.4,37.22,16.53
Guyana ,LATIN AMER. & CARIB    ,767245,214970,98.8,18.28,8.28
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,52.9,36.44,12.17
